"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,70.367,1408.815,695.188,382.186,669.439,256.76,26.769,53.174,"a"
"dry2wet5","poll",37,277.497,1008.948,611.851,328.956,614.239,223.461,36.737,74.506,"a"
"other","poll",145,252.689,1278.698,691.717,446.92,720.536,259.563,21.556,42.606,"a"
"wet2wet5","poll",79,23.369,976.632,444.055,465.327,431.577,247.886,27.889,55.523,"b"
