"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",669.438632934783,26.3489286148396,349,617.615967052824,721.261298816743,"Emmeans test"
"dry2wet5",614.238954054054,41.5485634453555,349,532.521881121859,695.956026986249,"Emmeans test"
"other",720.536133793103,20.9880878532679,349,679.257086731259,761.815180854946,"Emmeans test"
"wet2wet5",431.576754050632,28.4343515732251,349,375.652510500193,487.50099760107,"Emmeans test"
