"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,146.399,1408.815,815.263,311.117,826.074,242.52,22.139,43.837,"a"
"Middlestream","poll",151,23.369,1092.173,640.206,255.919,616.796,238.425,19.403,38.338,"b"
"Upstream","poll",82,46.08,934.214,368.309,84.415,373.445,120.678,13.327,26.516,"c"
