"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0.174,1.103,0.341,0.099,0.372,0.153,0.018,0.035,"a"
"Middlestream","poll",96,0.026,0.473,0.228,0.108,0.236,0.086,0.009,0.018,"b"
"Upstream","poll",53,0.027,0.223,0.137,0.046,0.142,0.041,0.006,0.011,"c"
