"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0.12,0.685,0.239,0.156,0.266,0.113,0.016,0.033,"ab"
"dry2wet5","poll",36,0.101,0.622,0.202,0.12,0.223,0.103,0.017,0.035,"a"
"other","poll",99,0.096,1.103,0.281,0.184,0.295,0.159,0.016,0.032,"b"
"wet2wet5","poll",43,0.026,0.447,0.188,0.146,0.201,0.115,0.018,0.035,"a"
