"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0,0.155,0.028,0.03,0.035,0.034,0.004,0.008,"a"
"Middlestream","poll",96,0,1.098,0.021,0.042,0.04,0.115,0.012,0.023,"a"
"Upstream","poll",53,0,0.143,0.016,0.041,0.023,0.03,0.004,0.008,"a"
