"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,3.188,134.8,30.87,27.265,38.556,24.584,2.563,5.091,"a"
"dry2wet5","poll",25,9.723,63.26,26.85,16.66,28.975,12.239,2.448,5.052,"ab"
"other","poll",128,1.303,81.05,22.095,20.082,28.303,18.714,1.654,3.273,"b"
"wet2wet5","poll",79,2.109,82.67,15.07,16.44,22.977,19.449,2.188,4.356,"b"
