"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",108,1.303,31.94,17.62,9.128,17.605,6.872,0.661,1.311,"a"
"Middlestream","poll",139,2.622,134.8,24.35,17.69,26.774,17.586,1.492,2.949,"b"
"Upstream","poll",77,2.109,95.58,53.77,34.04,53.072,22.018,2.509,4.997,"c"
