"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0.005,0.459,0.063,0.082,0.081,0.084,0.012,0.025,"a"
"dry2wet5","poll",36,0.002,4.085,0.057,0.097,0.195,0.672,0.112,0.227,"a"
"other","poll",99,0.001,1.443,0.051,0.132,0.128,0.22,0.022,0.044,"a"
"wet2wet5","poll",43,0,0.627,0.039,0.142,0.112,0.159,0.024,0.049,"a"
