"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0.005,4.085,0.146,0.166,0.266,0.504,0.058,0.115,"a"
"Middlestream","poll",96,0.001,0.467,0.04,0.083,0.075,0.09,0.009,0.018,"b"
"Upstream","poll",53,0,0.112,0.009,0.017,0.016,0.02,0.003,0.006,"b"
