"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,7.18,8.36,7.99,0.255,7.941,0.221,0.023,0.046,"a"
"dry2wet5","poll",37,7.53,8.34,7.97,0.21,7.976,0.191,0.031,0.064,"a"
"other","poll",145,7.01,8.34,7.78,0.39,7.774,0.26,0.022,0.043,"b"
"wet2wet5","poll",79,7.57,8.54,7.96,0.225,7.983,0.176,0.02,0.04,"a"
