"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,7.24,8.4,7.89,0.262,7.864,0.21,0.019,0.038,"a"
"Middlestream","poll",151,7.01,8.49,7.96,0.365,7.896,0.272,0.022,0.044,"a"
"Upstream","poll",82,7.34,8.54,7.925,0.362,7.897,0.239,0.026,0.052,"a"
