"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",0.000177659574468085,0.000138575495841816,221,-9.54389528983623e-05,0.000450758101834533,"Emmeans test"
"dry2wet5",0.000478611111111111,0.000158337622595133,221,0.000166566248527356,0.000790655973694866,"Emmeans test"
"other",0.00059939393939394,9.54811789718106e-05,221,0.000411223807221516,0.000787564071566363,"Emmeans test"
"wet2wet5",0.000725348837209301,0.000144877566453729,221,0.00043983046466736,0.00101086720975124,"Emmeans test"
