"id","emmean","se","df","conf.low","conf.high","method"
"1",-1.94448628967212e-18,0.000184573319034436,213,-0.000363824260701138,0.000363824260701134,"Emmeans test"
"2",-6.40366498281548e-19,0.000189368229701838,213,-0.000373275815442752,0.000373275815442751,"Emmeans test"
"3",-9.23997664573263e-19,0.000220607311429763,213,-0.000434853165159935,0.000434853165159933,"Emmeans test"
"4",0.000779444444444445,0.000194557361148576,213,0.000395940000496951,0.00116294888839194,"Emmeans test"
"5",-4.5165876620518e-19,0.000194557361148576,213,-0.000383504443947495,0.000383504443947494,"Emmeans test"
"7",5.84999999999999e-05,0.000184573319034436,213,-0.000305324260701136,0.000422324260701136,"Emmeans test"
"8",0.000118999999999999,0.000184573319034436,213,-0.000244824260701138,0.000482824260701136,"Emmeans test"
"9",0.001099,0.000184573319034436,213,0.000735175739298862,0.00146282426070114,"Emmeans test"
"10",0.000526315789473686,0.000189368229701838,213,0.000153039974030934,0.000899591604916438,"Emmeans test"
"11",0.000800000000000001,0.000189368229701838,213,0.000426724184557249,0.00117327581544275,"Emmeans test"
"12",0.00134473684210527,0.000189368229701838,213,0.000971461026662513,0.00171801265754802,"Emmeans test"
"13",0.0013578947368421,0.000189368229701838,213,0.000984618921399353,0.00173117055228486,"Emmeans test"
