"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0,0.007,0.001,0.001,0.001,0.001,0,0,"a"
"Middlestream","poll",96,0,0.003,0,0,0,0.001,0,0,"b"
"Upstream","poll",53,0,0,0,0,0,0,0,0,"c"
