"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,0.01,4.035,0.239,0.825,0.651,0.941,0.098,0.195,"a"
"dry2wet5","poll",37,0.025,1.333,0.2,0.342,0.366,0.361,0.059,0.12,"a"
"other","poll",145,0,4.733,0.101,0.313,0.477,0.887,0.074,0.146,"a"
"wet2wet5","poll",79,0.002,4.222,0.184,0.883,0.67,0.879,0.099,0.197,"a"
