"id","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"1","poll",31,0.022,1.103,0.058,0.041,0.107,0.191,0.034,0.07,"a"
"2","poll",30,0.017,1.287,0.096,0.062,0.139,0.221,0.04,0.083,"a"
"3","poll",21,0.008,3.564,0.072,0.09,0.322,0.814,0.178,0.371,"a"
"4","poll",28,0.002,3.45,0.131,0.374,0.556,0.908,0.172,0.352,"a"
"5","poll",29,0,0.696,0.093,0.112,0.137,0.168,0.031,0.064,"a"
"7","poll",31,0.02,1.988,0.181,0.294,0.301,0.357,0.064,0.131,"a"
"8","poll",32,0,2.945,0.147,0.295,0.315,0.545,0.096,0.196,"a"
"9","poll",31,0,1.534,0.238,0.435,0.376,0.41,0.074,0.15,"a"
"10","poll",31,0.041,2.828,0.319,0.309,0.405,0.547,0.098,0.201,"a"
"11","poll",30,0,2.978,0.412,1.01,0.714,0.817,0.149,0.305,"a"
"12","poll",29,0.057,4.468,1.333,1.447,1.687,1.169,0.217,0.445,"b"
"13","poll",30,0.042,4.733,1.322,1.845,1.589,1.26,0.23,0.471,"b"
