"id_grop","emmean","se","df","conf.low","conf.high","method"
"Downstream",0.00260973684210526,0.000221933440072532,222,0.00217237097048543,0.0030471027137251,"Emmeans test"
"Middlestream",0.00231135416666666,0.000197466725533077,222,0.00192220503032893,0.0027005033030044,"Emmeans test"
"Upstream",0.00112962264150944,0.000265761218492846,222,0.000605885042836225,0.00165336024018265,"Emmeans test"
