"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0,0.009,0.003,0.002,0.003,0.002,0,0.001,"a"
"dry2wet5","poll",36,0,0.004,0,0.002,0.001,0.001,0,0,"b"
"other","poll",99,0,0.011,0.002,0.003,0.002,0.002,0,0,"c"
"wet2wet5","poll",43,0,0.008,0.003,0.003,0.003,0.002,0,0.001,"ac"
