"id","emmean","se","df","conf.low","conf.high","method"
"1",0.001293,0.000430244707564842,213,0.000444917170535623,0.00214108282946438,"Emmeans test"
"2",0.000880000000000002,0.000441421756060736,213,9.88537619442626e-06,0.00175011462380558,"Emmeans test"
"3",0.001235,0.000514240783496211,213,0.00022134713913891,0.00224865286086108,"Emmeans test"
"4",0.00258722222222222,0.000453517742379327,213,0.00169326442702636,0.00348118001741809,"Emmeans test"
"5",0.00216888888888889,0.000453517742379327,213,0.00127493109369302,0.00306284668408475,"Emmeans test"
"7",0.001549,0.000430244707564842,213,0.000700917170535622,0.00239708282946437,"Emmeans test"
"8",0.001917,0.000430244707564843,213,0.00106891717053562,0.00276508282946437,"Emmeans test"
"9",0.003348,0.000430244707564843,213,0.00249991717053562,0.00419608282946437,"Emmeans test"
"10",0.00263,0.000441421756060737,213,0.00175988537619442,0.00350011462380558,"Emmeans test"
"11",0.00290263157894737,0.000441421756060736,213,0.00203251695514179,0.00377274620275294,"Emmeans test"
"12",0.00248789473684211,0.000441421756060737,213,0.00161778011303653,0.00335800936064768,"Emmeans test"
"13",0.00241842105263158,0.000441421756060736,213,0.001548306428826,0.00328853567643716,"Emmeans test"
