"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0.002,0.881,0.036,0.057,0.067,0.112,0.013,0.026,"a"
"Middlestream","poll",96,0.002,0.86,0.031,0.07,0.072,0.119,0.012,0.024,"a"
"Upstream","poll",53,0,0.222,0.013,0.037,0.038,0.054,0.007,0.015,"a"
