"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0.009,0.256,0.042,0.07,0.071,0.063,0.009,0.018,"a"
"dry2wet5","poll",36,0.002,0.525,0.023,0.084,0.069,0.1,0.017,0.034,"a"
"other","poll",99,0,0.881,0.022,0.049,0.057,0.111,0.011,0.022,"a"
"wet2wet5","poll",43,0.003,0.86,0.027,0.042,0.062,0.132,0.02,0.041,"a"
