"id","emmean","se","df","conf.low","conf.high","method"
"1",0.0306580000000001,0.0227374500654385,213,-0.0141612404165618,0.075477240416562,"Emmeans test"
"2",0.035348947368421,0.0233281315487571,213,-0.0106346230558715,0.0813325177927136,"Emmeans test"
"3",0.0518085714285715,0.0271764508215243,213,-0.0017606669659397,0.105377809823083,"Emmeans test"
"4",0.165967777777778,0.0239673767970434,213,0.118724150206108,0.213211405349448,"Emmeans test"
"5",0.0556027777777777,0.0239673767970434,213,0.00835915020610779,0.102846405349448,"Emmeans test"
"7",0.0480279999999999,0.0227374500654385,213,0.003208759583438,0.0928472404165618,"Emmeans test"
"8",0.0545289999999999,0.0227374500654385,213,0.00970975958343797,0.0993482404165618,"Emmeans test"
"9",0.0446195,0.0227374500654385,213,-0.000199740416561962,0.0894387404165619,"Emmeans test"
"10",0.102303157894737,0.0233281315487571,213,0.0563195874704443,0.14828672831903,"Emmeans test"
"11",0.0533642105263158,0.0233281315487571,213,0.00738064010202324,0.0993477809506083,"Emmeans test"
"12",0.0515131578947369,0.0233281315487571,213,0.00552958747044426,0.0974967283190295,"Emmeans test"
"13",0.0614921052631579,0.0233281315487571,213,0.0155085348388653,0.10747567568745,"Emmeans test"
