"id","emmean","se","df","conf.low","conf.high","method"
"1",222.7379,9.69879897347481,213,203.619977731099,241.855822268901,"Emmeans test"
"2",243.355789473684,9.95075778801088,213,223.741215088945,262.970363858423,"Emmeans test"
"3",184.435357142857,11.5922820092802,213,161.585069496036,207.285644789679,"Emmeans test"
"4",147.608055555556,10.2234317747612,213,127.455996055628,167.760115055483,"Emmeans test"
"5",232.701555555556,10.2234317747612,213,212.549496055629,252.853615055483,"Emmeans test"
"7",220.3016,9.69879897347481,213,201.183677731099,239.419522268901,"Emmeans test"
"8",205.0301,9.69879897347482,213,185.912177731099,224.148022268901,"Emmeans test"
"9",174.56275,9.69879897347482,213,155.444827731099,193.680672268901,"Emmeans test"
"10",201.415789473684,9.95075778801089,213,181.801215088945,221.030363858423,"Emmeans test"
"11",177.965789473684,9.95075778801088,213,158.351215088945,197.580363858423,"Emmeans test"
"12",165.597368421053,9.95075778801089,213,145.982794036313,185.211942805792,"Emmeans test"
"13",166.036315789474,9.95075778801088,213,146.421741404735,185.650890174213,"Emmeans test"
