"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,102.41,250.34,175.81,38.692,177.754,29.987,3.44,6.852,"a"
"Middlestream","poll",96,36.281,288.97,205.215,66.37,196.286,55.428,5.657,11.231,"b"
"Upstream","poll",53,42.347,316.54,234.46,28.03,220.012,57.965,7.962,15.977,"c"
