"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,1628,5095,3115.5,1073,3142.109,731.884,76.304,151.569,"a"
"dry2wet5","poll",37,1929,4418,2848,1063,2926.459,687.507,113.026,229.226,"a"
"other","poll",145,1318,5433,3134,1147,3260.862,798.509,66.313,131.072,"a"
"wet2wet5","poll",79,352.7,4027,2403,1753,2173.809,939.458,105.697,210.427,"b"
