"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,1007,5433,3539,1047,3509.975,857.567,78.285,155.012,"a"
"Middlestream","poll",151,352.7,4746,2972,837.5,2861.244,844.776,68.747,135.837,"b"
"Upstream","poll",82,475.1,3863,2362,278.75,2300.78,538.629,59.482,118.35,"c"
