"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0,0.013,0.006,0.004,0.005,0.004,0.001,0.001,"a"
"dry2wet5","poll",36,0,0.257,0,0.005,0.01,0.043,0.007,0.014,"a"
"other","poll",99,0,0.068,0.003,0.006,0.006,0.012,0.001,0.002,"a"
"wet2wet5","poll",43,0,0.06,0.006,0.007,0.011,0.014,0.002,0.004,"a"
