"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0,0.06,0.003,0.006,0.005,0.009,0.001,0.002,"ab"
"Middlestream","poll",96,0,0.257,0.005,0.011,0.012,0.029,0.003,0.006,"a"
"Upstream","poll",53,0,0.01,0,0.004,0.003,0.003,0,0.001,"b"
