"id","emmean","se","df","conf.low","conf.high","method"
"1",0.002412,0.00405364560886364,213,-0.00557839982866681,0.0104023998286668,"Emmeans test"
"2",0.00239789473684208,0.00415895264171913,213,-0.00580008251187499,0.0105958719855592,"Emmeans test"
"3",0.00293285714285716,0.00484503320381657,213,-0.00661749733238607,0.0124832116181004,"Emmeans test"
"4",0.0372622222222223,0.00427291765038305,213,0.0288396012642202,0.0456848431802244,"Emmeans test"
"5",0.00541,0.00427291765038305,213,-0.00301262095800212,0.0138326209580021,"Emmeans test"
"7",0.00397099999999999,0.00405364560886364,213,-0.00401939982866682,0.0119613998286668,"Emmeans test"
"8",0.00743799999999998,0.00405364560886364,213,-0.000552399828666835,0.0154283998286668,"Emmeans test"
"9",0.007551,0.00405364560886364,213,-0.000439399828666821,0.0155413998286668,"Emmeans test"
"10",0.00805894736842106,0.00415895264171914,213,-0.000139029880296028,0.0162569246171381,"Emmeans test"
"11",0.00652684210526316,0.00415895264171914,213,-0.00167113514345391,0.0147248193539802,"Emmeans test"
"12",0.0032421052631579,0.00415895264171914,213,-0.00495587198555918,0.011440082511875,"Emmeans test"
"13",0.00334894736842106,0.00415895264171914,213,-0.00484902988029602,0.0115469246171381,"Emmeans test"
