"id","emmean","se","df","conf.low","conf.high","method"
"1",0.000783000000000001,0.00128535541733681,213,-0.00175064617864143,0.00331664617864143,"Emmeans test"
"2",0.00085315789473684,0.00131874683292294,213,-0.00174630823639255,0.00345262402586623,"Emmeans test"
"3",0.00274000000000001,0.0015362935679639,213,-0.000288286398643,0.00576828639864302,"Emmeans test"
"4",0.01067,0.00135488357387353,213,0.0079993024301704,0.0133406975698296,"Emmeans test"
"5",0.00389777777777777,0.00135488357387353,213,0.00122708020794817,0.00656847534760737,"Emmeans test"
"7",0.0018975,0.00128535541733681,213,-0.000636146178641436,0.00443114617864143,"Emmeans test"
"8",0.00298249999999998,0.00128535541733681,213,0.000448853821358549,0.00551614617864142,"Emmeans test"
"9",0.0031695,0.00128535541733681,213,0.000635853821358561,0.00570314617864143,"Emmeans test"
"10",0.00202052631578948,0.00131874683292295,213,-0.00057893981533991,0.00461999244691887,"Emmeans test"
"11",0.00233157894736843,0.00131874683292294,213,-0.000267887183760961,0.00493104507849782,"Emmeans test"
"12",0.00225789473684211,0.00131874683292295,213,-0.000341571394287281,0.0048573608679715,"Emmeans test"
"13",0.00209263157894737,0.00131874683292294,213,-0.00050683455218202,0.00469209771007676,"Emmeans test"
