"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,0,0.018,0,0.003,0.002,0.004,0.001,0.001,"a"
"dry2wet5","poll",36,0,0.049,0,0,0.002,0.008,0.001,0.003,"a"
"other","poll",99,0,0.026,0,0.006,0.004,0.007,0.001,0.001,"a"
"wet2wet5","poll",43,0,0.015,0,0.004,0.002,0.003,0,0.001,"a"
