"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,0,0.019,0,0.003,0.002,0.005,0.001,0.001,"a"
"Middlestream","poll",96,0,0.049,0,0.005,0.004,0.008,0.001,0.002,"b"
"Upstream","poll",53,0,0.018,0,0,0.001,0.004,0,0.001,"a"
