"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",42.7475885303262,2.73455467388745,349,37.3693086286148,48.1258684320376,"Emmeans test"
"dry2wet5",35.6061051037839,4.31200903929042,349,27.1253123174964,44.0868978900714,"Emmeans test"
"other",37.1381836667586,2.17819382996813,349,32.8541456807507,41.4222216527666,"Emmeans test"
"wet2wet5",25.7552064813724,2.95098484382892,349,19.9512550638433,31.5591578989015,"Emmeans test"
