"id","emmean","se","df","conf.low","conf.high","method"
"1",77.6943960958065,3.03209138174436,341,71.7304387208094,83.6583534708036,"Emmeans test"
"2",74.3888537499999,3.08221199013901,341,68.326311888442,80.4513956115577,"Emmeans test"
"3",39.7397305728572,3.68394795064765,341,32.4936070946358,46.9858540510786,"Emmeans test"
"4",47.9888352575001,3.19039251148049,341,41.7135082464015,54.2641622685987,"Emmeans test"
"5",31.5308003993104,3.1349031914036,341,25.3646178360668,37.6969829625541,"Emmeans test"
"7",41.0998421590321,3.03209138174437,341,35.135884784035,47.0637995340293,"Emmeans test"
"8",28.7302106234377,2.9843389268223,341,22.860179707063,34.6002415398125,"Emmeans test"
"9",20.1112749390324,3.03209138174437,341,14.1473175640353,26.0752323140296,"Emmeans test"
"10",24.4697375726996,3.03209138174437,341,18.5057801977025,30.4336949476967,"Emmeans test"
"11",15.4806356086667,3.08221199013902,341,9.41809374710885,21.5431774702246,"Emmeans test"
"12",15.3079721094737,3.1349031914036,341,9.14178954623006,21.4741546727174,"Emmeans test"
"13",15.1090550289999,3.08221199013902,341,9.04651316744205,21.1715968905578,"Emmeans test"
