"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,0,38.033,16.537,12.551,17.668,8.914,0.814,1.611,"a"
"Middlestream","poll",151,0.796,180.268,32.427,21.458,33.609,21.857,1.779,3.515,"b"
"Upstream","poll",82,2.304,105.127,73.886,36.809,66.765,25.545,2.821,5.613,"c"
