"id","emmean","se","df","conf.low","conf.high","method"
"1",7.58791379310344,3.40970699163485,312,0.87898625924412,14.2968413269628,"Emmeans test"
"2",8.54858214285712,3.47006047340935,312,1.72090330965313,15.3762609760611,"Emmeans test"
"3",10.75806,4.10583092257404,312,2.67944145787695,18.8366785421231,"Emmeans test"
"4",13.1980384615384,3.60105193656232,312,6.11262128424697,20.2834556388299,"Emmeans test"
"5",10.6005821428572,3.47006047340936,312,3.77290330965317,17.4282609760612,"Emmeans test"
"7",10.8880535714286,3.47006047340936,312,4.06037473822458,17.7157324046326,"Emmeans test"
"8",14.2032137931034,3.40970699163484,312,7.49428625924414,20.9121413269627,"Emmeans test"
"9",16.5616071428571,3.47006047340935,312,9.73392830965313,23.3892859760611,"Emmeans test"
"10",15.9559642857143,3.47006047340935,312,9.12828545251029,22.7836431189183,"Emmeans test"
"11",21.6731481481482,3.53373661899393,312,14.7201803539248,28.6261159423715,"Emmeans test"
"12",17.8403846153846,3.60105193656233,312,10.7549674380931,24.9258017926761,"Emmeans test"
"13",24.0186666666667,3.53373661899392,312,17.0656988724433,30.97163446089,"Emmeans test"
