"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",108,3.242,277.2,16.035,8.225,19.855,29.541,2.843,5.635,"a"
"Middlestream","poll",139,0,68.43,14.12,10.396,13.097,9.23,0.783,1.548,"b"
"Upstream","poll",77,0,18.92,8.977,8.854,8.761,5.067,0.577,1.15,"b"
