"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,37.42,103.88,70.415,29.11,69.79,19.306,2.816,5.668,"a"
"dry2wet5","poll",36,36.881,112.77,68.68,35.735,68.259,22.442,3.74,7.593,"ab"
"other","poll",99,40.301,115.56,79.393,37.036,78.708,21.814,2.192,4.351,"a"
"wet2wet5","poll",43,7.727,90.836,62.422,45.826,54.697,27.369,4.174,8.423,"b"
