"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,40.628,115.56,87.905,23.497,86.284,16.438,1.886,3.756,"a"
"Middlestream","poll",96,9.783,111.27,73.086,28.872,71.617,23.018,2.349,4.664,"b"
"Upstream","poll",53,7.727,87.103,45.344,10.471,46.201,13.537,1.859,3.731,"c"
