"id","emmean","se","df","conf.low","conf.high","method"
"1",42.660145,3.85951927929135,213,35.052399981404,50.267890018596,"Emmeans test"
"2",49.4491578947369,3.95978323000822,213,41.6437761974737,57.254539592,"Emmeans test"
"3",46.8496428571427,4.61300786088669,213,37.7566483583956,55.9426373558899,"Emmeans test"
"4",48.6638055555556,4.06829053196407,213,40.6445381833678,56.6830729277434,"Emmeans test"
"5",69.3666111111111,4.06829053196407,213,61.3473437389233,77.3858784832989,"Emmeans test"
"7",73.4600499999999,3.85951927929135,213,65.8523049814039,81.0677950185959,"Emmeans test"
"8",89.0194499999999,3.85951927929135,213,81.4117049814039,96.6271950185959,"Emmeans test"
"9",75.05605,3.85951927929135,213,67.448304981404,82.663795018596,"Emmeans test"
"10",89.5937368421054,3.95978323000822,213,81.7883551448422,97.3991185393685,"Emmeans test"
"11",85.3408421052632,3.95978323000822,213,77.535460408,93.1462238025263,"Emmeans test"
"12",85.3076842105264,3.95978323000823,213,77.5023025132632,93.1130659077896,"Emmeans test"
"13",84.8953684210527,3.95978323000822,213,77.0899867237895,92.7007501183158,"Emmeans test"
