"id","emmean","se","df","conf.low","conf.high","method"
"1",47.6105267741936,2.31307527081666,341,43.0608346364935,52.1602189118937,"Emmeans test"
"2",49.7603185555556,2.35131051020752,341,45.135419799967,54.3852173111442,"Emmeans test"
"3",44.991,2.81035359122868,341,39.4631886920455,50.5188113079545,"Emmeans test"
"4",35.9635653571428,2.43383760362087,341,31.1763403371274,40.7507903771583,"Emmeans test"
"5",48.9727857471265,2.39150676397762,341,44.2688231659676,53.6767483282853,"Emmeans test"
"7",54.046821827957,2.31307527081667,341,49.497129690257,58.5965139656571,"Emmeans test"
"8",56.2608513541667,2.27664661194905,341,51.7828123895942,60.7388903187392,"Emmeans test"
"9",49.125918172043,2.31307527081666,341,44.5762260343429,53.6756103097431,"Emmeans test"
"10",54.6705204301075,2.31307527081666,341,50.1208282924075,59.2202125678076,"Emmeans test"
"11",55.6659124444445,2.35131051020753,341,51.0410136888559,60.290811200033,"Emmeans test"
"12",59.2384436781609,2.39150676397762,341,54.534481097002,63.9424062593198,"Emmeans test"
"13",58.7314027777778,2.35131051020753,341,54.1065040221892,63.3563015333664,"Emmeans test"
