"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,17.126,95.04,58.245,11.99,57.039,11.522,1.052,2.083,"a"
"Middlestream","poll",151,4.055,85.025,51.209,13.324,49.178,15.714,1.279,2.527,"b"
"Upstream","poll",82,5.794,70.076,50.623,9.126,47.726,12.012,1.327,2.639,"b"
