"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",54.3215103260871,1.29927421809711,349,51.7661178591778,56.8769027929963,"Emmeans test"
"dry2wet5",51.7637203603604,2.04877314264381,349,47.7342249834832,55.7932157372375,"Emmeans test"
"other",56.3461554252873,1.03492942098413,349,54.3106722229508,58.3816386276239,"Emmeans test"
"wet2wet5",39.2535570042193,1.40210710072643,349,36.4959144118467,42.011199596592,"Emmeans test"
