"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,0,49.276,0.353,0.598,1.656,6.17,0.643,1.278,"a"
"dry2wet5","poll",37,0.024,8.525,0.523,0.957,0.988,1.452,0.239,0.484,"a"
"other","poll",145,0,9.738,0.299,0.733,0.766,1.355,0.113,0.222,"a"
"wet2wet5","poll",79,0.004,3.777,0.761,1.104,0.885,0.699,0.079,0.157,"a"
