"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,0.171,9.137,0.894,1.086,1.136,1.086,0.099,0.196,"ab"
"Middlestream","poll",151,0,49.276,0.417,0.69,1.396,4.939,0.402,0.794,"a"
"Upstream","poll",82,0,2.622,0.058,0.25,0.279,0.541,0.06,0.119,"b"
