"id","emmean","se","df","conf.low","conf.high","method"
"1",0.278050098064515,0.561412867423203,341,-0.826218207055181,1.38231840318421,"Emmeans test"
"2",0.233337942666668,0.570693047646415,341,-0.889183967742354,1.35585985307569,"Emmeans test"
"3",0.345934845714293,0.682108657695233,341,-0.995735456211273,1.68760514763986,"Emmeans test"
"4",5.05878421428572,0.590723425705376,341,3.89686364931504,6.2207047792564,"Emmeans test"
"5",0.338147069655171,0.580449191068752,341,-0.803564639539434,1.47985877884978,"Emmeans test"
"7",0.461532613225806,0.561412867423205,341,-0.642735691893893,1.56580091834551,"Emmeans test"
"8",0.408364636562501,0.552571167332731,341,-0.67851252962927,1.49524180275427,"Emmeans test"
"9",1.02904061354839,0.561412867423204,341,-0.075227691571313,2.13330891866808,"Emmeans test"
"10",0.528608641935482,0.561412867423204,341,-0.575659663184216,1.63287694705518,"Emmeans test"
"11",1.67303782,0.570693047646417,341,0.550515909590976,2.79555973040903,"Emmeans test"
"12",1.14824060344828,0.580449191068752,341,0.00652889425367054,2.28995231264288,"Emmeans test"
"13",1.21325403666667,0.570693047646417,341,0.0907321262576435,2.3357759470757,"Emmeans test"
