"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,196.35,620.52,335.555,103.348,352.637,86.214,9.889,19.701,"a"
"Middlestream","poll",96,24.96,368.14,227.975,66.728,229.929,73.254,7.476,14.843,"b"
"Upstream","poll",53,28.851,324.26,149.69,31.02,154.438,44.24,6.077,12.194,"c"
