"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",47,141.43,535.26,234.56,115.945,261.954,90.967,13.269,26.709,"a"
"dry2wet5","poll",36,130.46,465.02,244.725,140.15,246.114,85.504,14.251,28.93,"ab"
"other","poll",99,117.47,620.52,248.39,154.235,277.852,109.767,11.032,21.893,"a"
"wet2wet5","poll",43,24.96,397.31,193.92,171.11,194.874,104.684,15.964,32.217,"b"
