"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",261.953617021277,14.8078378856002,221,232.770977655839,291.136256386715,"Emmeans test"
"dry2wet5",246.114166666667,16.9195703204012,221,212.769817363748,279.458515969585,"Emmeans test"
"other",277.852121212121,10.2028847939644,221,257.744722027334,297.959520396908,"Emmeans test"
"wet2wet5",194.874023255814,15.4812617070189,221,164.364229671617,225.38381684001,"Emmeans test"
