"spi_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"dry2dry5","poll",92,0,14.615,0.213,1.444,1.865,3.484,0.363,0.722,"a"
"dry2wet5","poll",37,0.003,16.905,0.264,0.591,1.92,4.3,0.707,1.434,"a"
"other","poll",145,0,15.246,0.083,0.226,0.896,2.314,0.192,0.38,"a"
"wet2wet5","poll",79,0,14.727,0.136,0.856,1.4,2.956,0.333,0.662,"a"
