"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",120,0,16.905,1.075,4.09,3.151,4.186,0.382,0.757,"a"
"Middlestream","poll",151,0,11.057,0.089,0.223,0.381,1.083,0.088,0.174,"b"
"Upstream","poll",82,0,14.615,0.06,0.134,0.58,2.353,0.26,0.517,"b"
