"id","emmean","se","df","conf.low","conf.high","method"
"1",0.564741353906813,0.46689907200725,341,-0.353623501665245,1.48310620947887,"Emmeans test"
"2",0.558597153074079,0.474616934895155,341,-0.37494831531416,1.49214262146232,"Emmeans test"
"3",0.631892365185186,0.56727573906129,341,-0.483907886746915,1.74769261711729,"Emmeans test"
"4",0.50486477111111,0.49127520097767,341,-0.461446592611168,1.47117613483339,"Emmeans test"
"5",0.140893813639845,0.48273063262917,341,-0.808610852987147,1.09039848026684,"Emmeans test"
"7",0.285070800752687,0.466899072007251,341,-0.633294054819374,1.20343565632475,"Emmeans test"
"8",0.253715734270837,0.459545871169237,341,-0.650185778727927,1.1576172472696,"Emmeans test"
"9",0.72049247566308,0.466899072007251,341,-0.19787237990898,1.63885733123514,"Emmeans test"
"10",0.593499263978494,0.466899072007251,341,-0.324865591593566,1.51186411955055,"Emmeans test"
"11",2.4141899097037,0.474616934895157,341,1.48064444131546,3.34773537809194,"Emmeans test"
"12",5.19461045337165,0.48273063262917,341,4.24510578674465,6.14411511999864,"Emmeans test"
"13",4.55369964751852,0.474616934895157,341,3.62015417913028,5.48724511590677,"Emmeans test"
