"spi_grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5",1.86548245443237,0.316835007147054,349,1.24233625539326,2.48862865347148,"Emmeans test"
"dry2wet5",1.91970026174174,0.499604351607114,349,0.937086138603284,2.9023143848802,"Emmeans test"
"other",0.89565243278161,0.252373106405853,349,0.399288904607759,1.39201596095546,"Emmeans test"
"wet2wet5",1.40005195299578,0.341911358735505,349,0.727585972917267,2.07251793307429,"Emmeans test"
