"id","emmean","se","df","conf.low","conf.high","method"
"1",4.46991499999998,1.83177615680172,213,0.859183993456095,8.08064600654387,"Emmeans test"
"2",4.45805263157895,1.87936268274431,213,0.753520783662284,8.16258447949562,"Emmeans test"
"3",8.52232857142857,2.18939126850603,213,4.20667957179653,12.8379775710606,"Emmeans test"
"4",16.2016,1.93086160636106,213,12.3955553337097,20.0076446662904,"Emmeans test"
"5",19.5743888888889,1.93086160636106,213,15.7683442225985,23.3804335551792,"Emmeans test"
"7",11.27949,1.83177615680172,213,7.66875899345608,14.8902210065439,"Emmeans test"
"8",10.16137,1.83177615680172,213,6.55063899345608,13.7721010065439,"Emmeans test"
"9",15.45862,1.83177615680172,213,11.8478889934561,19.0693510065439,"Emmeans test"
"10",12.2217105263158,1.87936268274431,213,8.51717867839913,15.9262423742325,"Emmeans test"
"11",21.0630631578947,1.87936268274431,213,17.3585313099781,24.7675950058114,"Emmeans test"
"12",18.2943894736842,1.87936268274431,213,14.5898576257676,21.9989213216009,"Emmeans test"
"13",18.7689315789474,1.87936268274431,213,15.0643997310307,22.473463426864,"Emmeans test"
