"id_grop","variable","n","min","max","median","iqr","mean","sd","se","ci","later_grop"
"Downstream","poll",76,5.61,54.034,16.078,13.293,17.587,9.685,1.111,2.213,"a"
"Middlestream","poll",96,3.761,49.919,12.069,11.143,14.395,9.13,0.932,1.85,"b"
"Upstream","poll",53,1.078,23.495,3.829,4.205,5.536,5.259,0.722,1.449,"c"
