"grop","emmean","se","df","conf.low","conf.high","method"
"dry2dry5_Downstream",17.0476625,2.07112361950745,213,12.9651384188928,21.1301865811072,"Emmeans test"
"dry2dry5_Middlestream",11.8317263157895,1.90059338042382,213,8.08534528334372,15.5781073482352,"Emmeans test"
"dry2dry5_Upstream",9.18998333333328,2.39152755849524,213,4.47589057893258,13.904076087734,"Emmeans test"
"dry2wet5_Downstream",18.1950583333333,2.39152755849523,213,13.4809655789327,22.909151087734,"Emmeans test"
"dry2wet5_Middlestream",14.53588,2.13904727634378,213,10.3194672595683,18.7522927404317,"Emmeans test"
"dry2wet5_Upstream",6.6771111111111,2.76149815934326,213,1.23374566963488,12.1204765525873,"Emmeans test"
"other_Downstream",15.1397916666667,1.38074907967163,213,12.4181089459286,17.8614743874048,"Emmeans test"
"other_Middlestream",13.4428452380952,1.27832525070245,213,10.9230566700323,15.9626338061582,"Emmeans test"
"other_Upstream",2.69143809523808,1.80782490666739,213,-0.87208107202927,6.25495726250543,"Emmeans test"
"wet2wet5_Downstream",25.0398333333333,2.39152755849523,213,20.3257405789326,29.753926087734,"Emmeans test"
"wet2wet5_Middlestream",18.725845,1.85246928120962,213,15.0743244539459,22.3773655460542,"Emmeans test"
"wet2wet5_Upstream",6.04726363636365,2.49786906921782,213,1.12355433650078,10.9709729362265,"Emmeans test"
